시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1806455,건축)대합실화장실-동묘앞(1) B1,1호선,159,동묘앞,127,20240701,,외부,지하,3,지하1층 3번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1806457,건축)대합실화장실-종각 종로3가측,1호선,152,종각,131,20240701,,외부,지하,3,지하1층 (다)개집표기 부근(종로3가측),"일반(남,여) / 교통약자(남,여)",B1,Y
1806458,건축)대합실화장실-종로3가(1) 내부,1호선,153,종로3가,130,20240701,,내부,지하,11,지하1층 (라)개집표기 내부(고객안전실앞),"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1806456,건축)승강장화장실-동묘앞(1) B1,1호선,159,동묘앞,127,20240701,,외부,지하,2,하선승강장 7-3지점,"일반(남,여) / 교통약자(남,여)",B1,Y
1741946,건축)승강장화장실-동묘앞(1),1호선,159,동묘앞,127,20210527,,내부,지상,3,상선승강장 4-3지점,"일반(남,여) / 교통약자(남,여)",1,Y
1740565,건축)대합실화장실-청량리(1),1호선,158,청량리,124,20210527,,외부,지하,4,4번 출입구 아래,"일반(남,여) / 교통약자(남,여,공용)",B1,N
1740566,건축)대합실화장실-제기동,1호선,157,제기동,125,20210527,,외부,지하,2,2번 출입구 우측,"일반(남,여) / 교통약자(남,여)",B1,N
1740567,건축)대합실화장실-신설동(1),1호선,156,신설동,126,20210527,,외부,지하,1,대합실(지하1층) 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740568,건축)대합실화장실-동묘앞(1),1호선,159,동묘앞,127,20210527,,외부,지상,2,1층 고객안전실 부근,"일반(남,여) / 교통약자(남,여)",1,Y
1740569,건축)대합실화장실-동대문(1),1호선,155,동대문,128,20210527,,외부,지하,4,지하1층 4번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740570,건축)대합실화장실-종로5가,1호선,154,종로5가,129,20210527,,외부,지하,8,지하1층 지하상가 연결통로앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740571,건축)대합실화장실-종로3가(1),1호선,153,종로3가,130,20210527,,외부,지하,1,지하1층 (가)개집표기 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740572,건축)대합실화장실-종각,1호선,152,종각,131,20210527,,외부,지하,1,"지하1층 (가)개집표기 부근 (연결통로 부근, 시청측)","일반(남,여) / 교통약자(남,여)",B1,Y
1740573,건축)대합실화장실-시청(1),1호선,151,시청,132,20210527,,외부,지하,5,지하1층 5번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740574,건축)대합실화장실-서울역(1),1호선,150,서울역,133,20210527,,외부,지하,2,지하1층 2번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740578,건축)대합실화장실-을지로4가(2),2호선,204,을지로4가,204,20210527,,외부,지하,2,"지하1층 1,2번 출입구 옆","일반(남,여) / 교통약자(남,여)",B1,Y
1740579,건축)대합실화장실-동대문역사문화공원(2),2호선,205,동대문역사문화공원,205,20210527,,내부,지하,1,대합실 1층 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740580,건축)대합실화장실-신당(2),2호선,206,신당,206,20210527,,외부,지하,2,"대합실 1층 22,23번기둥","일반(남,여) / 교통약자(남,여)",B1,Y
1740581,건축)대합실화장실-상왕십리,2호선,207,상왕십리,207,20210527,,외부,지하,4,"대합실 1층 5,6번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740582,건축)대합실화장실-왕십리(2),2호선,208,왕십리,208,20210527,,외부,지하,6-1,지하1층 6-1번 출입구 쪽,"일반(남,여) / 교통약자(남,여)",B2,Y
1740583,건축)대합실화장실-한양대,2호선,209,한양대,209,20210527,,외부,지상,2,고객안전실 맞은편,"일반(남,여) / 교통약자(남,여)",2,Y
1740584,건축)대합실화장실-뚝섬,2호선,210,뚝섬,210,20210527,,외부,지상,6,고객안전실 옆,"일반(남,여) / 교통약자(남,여)",2,Y
1740585,건축)대합실화장실-성수,2호선,211,성수,211,20210527,,외부,지상,2,대합실 2층 2번 출입구측,"일반(남,여) / 교통약자(남,여)",2,Y
1740586,건축)대합실화장실-용답,2호선,244,용답,211-1,20210527,,외부,지상,1,대합실,"일반(남,여) / 교통약자(남,여)",1,Y
1740587,건축)대합실화장실-신답,2호선,245,신답,211-2,20210527,,내부,지상,1,1층 대합실,"일반(남,여) / 교통약자(남,여)",1,Y
1740588,건축)대합실화장실-용두,2호선,250,용두,211-3,20210527,,외부,지하,5,(내선대합실)5번 출입구 입구,"일반(남,여) / 교통약자(남,여)",B1,Y
1740589,건축)대합실화장실-신설동(2),2호선,246,신설동,211-4,20210527,,내부,지하,7,대합실(지하1층) 고객안전실 옆,"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1740590,건축)대합실화장실-건대입구(2),2호선,212,건대입구,212,20210527,,내부,지상,2,대합실 2층 통로 중앙,"일반(남,여) / 교통약자(남,여)",2,Y
1740591,건축)대합실화장실-구의,2호선,213,구의,213,20210527,,외부,지상,2,대합실 2층 통로 중앙,"일반(남,여) / 교통약자(남,여)",2,Y
1740592,건축)대합실화장실-강변,2호선,214,강변,214,20210527,,외부,지상,2,대합실 1층 통로 중앙,"일반(남,여) / 교통약자(남,여)",1,Y
1740593,건축)대합실화장실-잠실나루,2호선,215,잠실나루,215,20210527,,외부,지상,2,대합실 1층 통로 중앙,"일반(남,여) / 교통약자(남,여)",1,Y
1740594,건축)대합실화장실-잠실(2),2호선,216,잠실,216,20210527,,외부,지하,1,"대합실 1층 1,2번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740595,건축)대합실화장실-잠실새내,2호선,217,잠실새내,217,20210527,,외부,지하,2,대합실 1층 2번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740596,건축)대합실화장실-종합운동장,2호선,218,종합운동장,218,20210527,,외부,지하,1,"대합실 1층 1,2번 출입구 앞 (잠실새내측)","일반(남,여) / 교통약자(남,여)",B1,Y
1740597,건축)대합실화장실-삼성,2호선,219,삼성,219,20210527,,외부,지하,3,대합실 1층 통로 중앙,"일반(남,여) / 교통약자(남,여)",B1,Y
1740598,건축)대합실화장실-선릉,2호선,220,선릉,220,20210527,,외부,지하,1,대합실 1층 1번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740599,건축)대합실화장실-역삼,2호선,221,역삼,221,20210527,,외부,지하,3,대합실 2층 통로 중앙,"일반(남,여) / 교통약자(남,여)",B2,Y
1740600,건축)대합실화장실-강남,2호선,222,강남,222,20210527,,내부,지하,"1,12","1층 고객안전실(1,12번 출입구),개집표기 내부","일반(남,여) / 교통약자(남,여)",B1,Y
1740601,건축)대합실화장실-교대(2),2호선,223,교대,223,20210527,,외부,지하,4,"대합실 1층 1,2,3,4,번 출입구 쪽","일반(남,여) / 교통약자(남,여)",B1,Y
1740602,건축)대합실화장실-서초,2호선,224,서초,224,20210527,,외부,지하,1,"교대방면 대합실(1,2,7,8번 출입구),개집표기 외부","일반(남,여) / 교통약자(남,여)",B1,Y
1740603,건축)대합실화장실-방배,2호선,225,방배,225,20210527,,외부,지하,4,"서초방면 대합실 끝(1,4번 출입구방향),개집표기 외부","일반(남,여) / 교통약자(남,여)",B1,Y
1740604,건축)대합실화장실-사당(2),2호선,226,사당,226,20210527,,외부,지하,1,"지하1층 대합실 1,2번 출입구 쪽(방배측)","일반(남,여) / 교통약자(남,여,공용)",B1,Y
1740605,건축)대합실화장실-낙성대,2호선,227,낙성대,227,20210527,,외부,지하,5,"대합실 1층 고객안내부스앞(3,4,5,6번 출입구쪽)","일반(남,여) / 교통약자(남,여)",B1,Y
1740606,건축)대합실화장실-서울대입구,2호선,228,서울대입구,228,20210527,,외부,지하,8,"대합실 1층 (7,8번 출입구쪽)","일반(남,여) / 교통약자(남,여)",B1,Y
1740607,건축)대합실화장실-봉천,2호선,229,봉천,229,20210527,,외부,지하,2,"B1 아이센터 맞은편(1,6번 출입구)개집표기 외부","일반(남,여) / 교통약자(남,여)",B1,Y
1740608,건축)대합실화장실-신림,2호선,230,신림,230,20210527,,외부,지하,4,"B1 고객안전실 맞은편(3,4번 출입구),개집표기 외부","일반(남,여) / 교통약자(남,여)",B1,Y
1740609,건축)대합실화장실-신대방,2호선,231,신대방,231,20210527,,내부,지상,"1,4","2층 고객안전실(1,4번 출입구),개집표기 내부","일반(남,여) / 교통약자(남,여)",2,Y
1740610,건축)대합실화장실-구로디지털단지,2호선,232,구로디지털단지,232,20210527,,내부,지상,1,"지상2층, 고객안전실 앞 (개집표기 내부)","일반(남,여) / 교통약자(남,여)",2,Y
1740611,건축)대합실화장실-대림(2),2호선,233,대림,233,20210527,,내부,지상,"3,4,5,6","지상2층, 대합실 중앙(개집표기 내부)","일반(남,여) / 교통약자(남,여)",2,Y
1740612,건축)대합실화장실-신도림(2),2호선,234,신도림,234,20210527,,내부,지하,1,"지하1층 대합실 (개집표기 내부, 1번 출입구방향)","일반(남,여) / 교통약자(남,여)",B1,Y
1806459,건축)대합실화장실-사당(2) 낙성대측,2호선,226,사당,226,20240701,,외부,지하,7,"지하1층 대합실 7,8번 출입구 쪽(낙성대측)","일반(남,여) / 교통약자(남,여)",B1,Y
1740613,건축)대합실화장실-도림천,2호선,247,도림천,234-1,20210527,,외부,지상,1,"지상1층, 고객안전실 옆(개집표기 외부)","일반(남,여) / 교통약자(남,여)",1,N
1806460,건축)대합실화장실-시청(2) 환승통로,2호선,201,시청,201,20240701,,외부,지하,11,지하2층 환승통로,"일반(남,여) / 교통약자(남,여)",B2,Y
1740614,건축)대합실화장실-양천구청,2호선,248,양천구청,234-2,20210527,,내부,지하,1,"B1 대합실(개집표기 내부,신정자량사업소출입구 옆)","일반(남,여) / 교통약자(남,여)",B1,Y
1806461,건축)대합실화장실-신도림(2) 외부,2호선,234,신도림,234,20240701,,외부,지하,1,"지하1층 대합실(개집표기 외부,1번 출입구방향)","일반(남,여) / 교통약자(남,여)",B1,Y
1740615,건축)대합실화장실-신정네거리,2호선,249,신정네거리,234-3,20210527,,외부,지하,3,"B1 대합실(개집표기 외부, 2번, 3번 출입구방향)","일반(남,여) / 교통약자(남,여)",B1,N
1806462,"건축)대합실화장실-용두 #1,2출구",2호선,250,용두,211-3,20240701,,외부,지하,2,"(외선대합실)1,2번 출입구 입구","일반(남,여) / 교통약자(남,여)",B1,Y
1740616,건축)대합실화장실-문래,2호선,235,문래,235,20210527,,외부,지하,3,"지하1층 대합실(개집표기 외부, 2,3번 출입구방향)","일반(남,여) / 교통약자(남,여)",B1,Y
1806463,건축)승강장화장실-용두 외선,2호선,250,용두,211-3,20240701,,내부,,2,(외선승강장)2-2 승강장 앞,"일반(남,여) / 교통약자(남,여,공용)",2,Y
1740617,건축)대합실화장실-영등포구청(2),2호선,236,영등포구청,236,20210527,,내부,지하,2,"지하1층 대합실(개집표기 내부, 환승통로입구)","일반(남,여) / 교통약자(남,여)",B1,Y
1806464,건축)대합실화장실-종합운동장(2) #5출구,2호선,218,종합운동장,218,20240701,,외부,지하,5,대합실 1층 5번 출입구 앞 (삼성측),"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1740618,건축)대합실화장실-당산(2),2호선,237,당산,237,20210527,,내부,지상,4,"지상2층, 대합실 중앙(개집표기 내부)","일반(남,여) / 교통약자(남,여)",2,Y
1740619,건축)대합실화장실-합정(2),2호선,238,합정,238,20210527,,내부,지하,1,"지하1층 대합실, 1,2번 출입구","일반(남,여) / 교통약자(남,여)",B1,Y
1740620,건축)대합실화장실-홍대입구(2),2호선,239,홍대입구,239,20210527,,외부,지하,2,"지하1층 대합실, 2번 출입구 옆","일반(남,여) / 교통약자(남,여)",B1,Y
1740621,건축)대합실화장실-신촌,2호선,240,신촌,240,20210527,,외부,지하,5,"지하1층 대합실, 5번 출입구 옆","일반(남,여) / 교통약자(남,여)",B1,Y
1740622,건축)대합실화장실-이대,2호선,241,이대,241,20210527,,외부,지하,5,지하1층 대합실 5번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740623,건축)대합실화장실-아현,2호선,242,아현,242,20210527,,외부,지하,4,지하1층 대합실 이대역방면 끝단,"일반(남,여) / 교통약자(남,여)",B1,Y
1740624,건축)대합실화장실-충정로(2),2호선,243,충정로,243,20210527,,외부,지하,6,지하2층 아현방면 끝단,"일반(남,여) / 교통약자(남,여)",B2,Y
1741947,건축)승강장화장실-용두,2호선,250,용두,211-3,20210527,,내부,지하,5,(내선승강장)3-3 승강장 앞,"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1740575,건축)대합실화장실-시청(2),2호선,201,시청,201,20210527,,내부,지하,10,"지하1층 9,10번 출입구 옆","일반(남,여) / 교통약자(남,여)",B1,Y
1740576,건축)대합실화장실-을지로입구,2호선,202,을지로입구,202,20210527,,외부,지하,4,지하1층 (다)개집표기 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740577,건축)대합실화장실-을지로3가(2),2호선,203,을지로3가,203,20210527,,외부,지하,2,지하1층 (다)개집표기 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1806465,건축)대합실화장실-가락시장(3) 외부,3호선,340,가락시장,350,20240701,,외부,지하,2,대합실 B2층 고객안전실 앞(개집표기 외부),"일반(남,여) / 교통약자(남,여,공용)",B2,Y
1806466,건축)대합실화장실-경찰병원 외부,3호선,341,경찰병원,351,20240701,,외부,지하,2,대합실 B1층 아이센터 옆(개집표기 외부),"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1806467,건축)대합실화장실-오금(3) 외부,3호선,342,오금,352,20240701,,외부,지하,2,"대합실 B1층 1,2번 출입구 옆(개집표기 외부)","일반(남,여) / 교통약자(남,여)",B1,Y
1806468,건축)대합실화장실-옥수(3) 환승통로,3호선,325,옥수,335,20240701,,내부,지상,3,3층 환승통로측,"일반(남,여) / 교통약자(남,여)",3,Y
1806469,건축)대합실화장실-종로3가(3) 지하2층,3호선,319,종로3가,329,20240701,,내부,지하,7,지하2층,"일반(남,여) / 교통약자(남,여)",B2,Y
1806470,건축)대합실화장실-홍제 지하2층,3호선,314,홍제,324,20240701,,외부,지하,2,지하2층 대합실 (다)개집표기 앞,"일반(남,여) / 교통약자(남,여)",B2,Y
1740626,건축)대합실화장실-구파발,3호선,310,구파발,320,20210527,,외부,지하,4,지하1층 대합실 (가)개집표기 외부,"일반(남,여) / 교통약자(남,여)",B1,Y
1740627,건축)대합실화장실-연신내(3),3호선,311,연신내,321,20210527,,내부,지하,3,지하 1층 대합실 라개집표기 내부,"일반(남,여) / 교통약자(남,여)",B1,Y
1740628,건축)대합실화장실-불광(3),3호선,312,불광,322,20210527,,외부,지하,3,지하1층 대합실 (나)개집표기 외부,"일반(남,여) / 교통약자(남,여)",B1,Y
1740629,건축)대합실화장실-녹번,3호선,313,녹번,323,20210527,,외부,지하,5,지하1층 대합실 개집표기 외부,"일반(남,여) / 교통약자(남,여)",B1,Y
1740630,건축)대합실화장실-홍제,3호선,314,홍제,324,20210527,,외부,지하,2,지하1층 대합실 상가(다이소) 옆,"일반(남,여)",B1,Y
1740631,건축)대합실화장실-무악재,3호선,315,무악재,325,20210527,,내부,지하,1,지하2층 대합실 (가)개집표기 내부,"일반(남,여) / 교통약자(남,여)",B2,N
1740632,건축)대합실화장실-독립문,3호선,316,독립문,326,20210527,,내부,지하,3-1,지하2층 대합실 (나)개집표기 내부,"일반(남,여) / 교통약자(남,여)",B2,N
1740633,건축)대합실화장실-경복궁,3호선,317,경복궁,327,20210527,,내부,지하,3,지하2층 대합실 (가)개집표기 내부,"일반(남,여) / 교통약자(남,여)",B2,N
1740634,건축)대합실화장실-안국,3호선,318,안국,328,20210527,,외부,지하,4,지하3층 대합실 C계단 방면,"일반(남,여) / 교통약자(남,여)",B2,N
1740635,건축)대합실화장실-종로3가(3),3호선,319,종로3가,329,20210527,,내부,지하,8,엘리베이터 이용 지하3층 게이트 통과 후 오른쪽,"일반(남,여) / 교통약자(남,여)",B3,Y
1740636,건축)대합실화장실-을지로3가(3),3호선,320,을지로3가,330,20210527,,내부,지하,3,가 대합실 고객안전실 아래 지하 2층,"일반(남,여) / 교통약자(남,여)",B2,N
1740637,건축)대합실화장실-동대입구,3호선,322,동대입구,332,20210527,,내부,지하,6,대합실 2층 (가)개집표기 앞,"일반(남,여) / 교통약자(남,여)",B2,Y
1740638,건축)대합실화장실-약수(3),3호선,323,약수,333,20210527,,내부,지하,3,지하1층 개집표기 내 대합실,"일반(남,여) / 교통약자(남,여)",B1,Y
1740639,건축)대합실화장실-금호,3호선,324,금호,334,20210527,,내부,지하,4,지하1층 (가)개집표기 내 대합실,"일반(남,여) / 교통약자(남,여)",B1,Y
1740640,건축)대합실화장실-옥수,3호선,325,옥수,335,20210527,,내부,지상,7,3층 금호역측,"일반(남,여) / 교통약자(남,여,공용)",3,Y
1740641,건축)대합실화장실-압구정,3호선,326,압구정,336,20210527,,외부,지하,5,지하 1층,"일반(남,여) / 교통약자(남,여)",B1,Y
1740642,건축)대합실화장실-신사,3호선,327,신사,337,20210527,,내부,지하,4,지하 1층,"일반(남,여) / 교통약자(남,여)",B1,Y
1740643,건축)대합실화장실-잠원,3호선,328,잠원,338,20210527,,내부,지하,4,대합실 B1층 고객안전실 앞(개집표기 내부),"일반(남,여) / 교통약자(남,여)",B1,Y
1740645,건축)대합실화장실-교대(3),3호선,330,교대,340,20210527,,외부,지하,12,"대합실1층 고객안전실 맞은편,개집표기 외부","일반(남,여) / 교통약자(남,여)",B1,Y
1740646,건축)대합실화장실-남부터미널,3호선,331,남부터미널,341,20210527,,내부,지하,1,대합실 B2층 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B2,Y
1740647,건축)대합실화장실-양재,3호선,332,양재,342,20210527,,내부,지하,4,"대합실 B1층 상선 방향(9-4),개집표기 내부","일반(남,여) / 교통약자(남,여)",B1,Y
1740648,건축)대합실화장실-매봉,3호선,333,매봉,343,20210527,,외부,지하,2,대합실 B1층개집표기옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740649,건축)대합실화장실-도곡,3호선,334,도곡,344,20210527,,외부,지하,4,대합실  B2층 개집표기 외부,"일반(남,여) / 교통약자(남,여)",B2,N
1740650,건축)대합실화장실-대치,3호선,335,대치,345,20210527,,내부,지하,6,대합실 B1층 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B1,N
1740651,건축)대합실화장실-학여울,3호선,336,학여울,346,20210527,,외부,지하,1,대합실 B4층 외부 E/V 옆 (개집표기 외부),"일반(남,여) / 교통약자(남,여)",B4,Y
