연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수,남성용-유아용대변기수,남성용-소변기수 ,남성용-유아용소변기수,여성용-대변기수,여성용-유아용대변기수,공용-대변기수,공용-유아용대변기수,공용-소변기수 ,공용-유아용소변기수,기저귀교환대설치유무-남자장애인화장실,기저귀교환대설치유무-여자장애인화장실,기저귀교환대설치유무-공용장애인화장실,리모델링 연도,데이터기준일자
180,공중화장실(장애인),서울교통공사,5호선,굽은다리, 서울특별시 강동구 명일동 345-12 굽은다리역 , 서울특별시 강동구 명일동 3 ,37.545539,127.140717,지하,1,외부,3,대합실 지하1층 3번출입구 앞, 02-6311-5501 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2008,2024-06-28
181,공중화장실(장애인),서울교통공사,5호선,명일, 서울특별시 강동구 명일동 312 명일역 , 서울특별시 강동구 명일동 3 ,37.55131,127.141825,지하,1,외부,3,대합실 지하1층 3번출입구 앞 , 02-6311-5511 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2008,2024-06-28
182,공중화장실(장애인),서울교통공사,5호선,고덕, 서울특별시 강동구 고덕동 310 고덕역 , 서울특별시 강동구 고덕동 3 ,37.555051,127.151921,지하,1,외부,1,대합실 지하1층 1번 출입구 방향, 02-6311-5521 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2012,2024-06-28
183,공중화장실(장애인),서울교통공사,5호선,상일동, 서울특별시 강동구 상일동 148 상일동역 , 서울특별시 강동구 상일동 1 ,37.557055,127.166995,지하,1,외부,4,대합실 지하1층 4번출입구 앞, 02-6311-5531 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
184,공중화장실(장애인),서울교통공사,5호선,강일, 서울특별시 강동구 고덕로 지하 456 강일역 , 서울특별시 강동구 상일동 73 ,37.55758,127.17588,지하,2,외부,3,대합실 지하2층 3번출입구측, 02-6311-5611 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,1,1,1,,,,,1,1,,2021,2024-06-28
185,공중화장실(장애인),서울교통공사,5호선,강일, 서울특별시 강동구 고덕로 지하 456 강일역 , 서울특별시 강동구 상일동 73 ,37.55758,127.17588,지하,2,외부,4,대합실 지하2층 4번출입구측, 02-6311-5611 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,1,1,1,,,,,1,1,,2021,2024-06-28
186,공중화장실(장애인),서울교통공사,5호선,미사, 경기도 하남시 미사강변동로 지하90 미사역 , 경기도 하남시 망월동 1122 ,37.563355,127.192636,지하,1,외부,5,대합실 지하1층 5번 출입구옆, 02-6311-5621 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,,,,2020,2024-06-28
187,공중화장실(장애인),서울교통공사,5호선,미사, 경기도 하남시 미사강변동로 지하90 미사역 , 경기도 하남시 망월동 1122 ,37.563355,127.192636,지하,1,내부,2 또는4,대합실 지하1층 승강장 상선 내부계단옆, 02-6311-5621 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2020,2024-06-28
188,공중화장실(장애인),서울교통공사,5호선,하남풍산, 경기도 하남시 덕풍서로 50 하남풍산역 , 경기도 하남시 덕풍동 727-3 ,37.552026,127.203768,지하,1,외부,1 또는2,대합실 지하1층 #1 또는2출입구 앞, 02-6311-5631 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2020,2024-06-28
189,공중화장실(장애인),서울교통공사,5호선,하남시청, 경기도 하남시 하남대로 지하 820 하남시청역 , 경기도 하남시 덕풍동 405-1 ,37.54172,127.20676,지하,1,외부,1 또는2 또는3,대합실 지하1층 #1~3출입구 앞, 02-6311-5641 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2021,2024-06-28
190,공중화장실(장애인),서울교통공사,5호선,하남검단산, 경기도 하남시 대청로 지하 100 하남검단산역 , 경기도 하남시 창우동 526 ,37.53996,127.22263,지하,1,외부,1 또는2,대합실 지하1층 #1 또는2출입구 앞, 02-6311-5651 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,1,1,1,,,,,,,,2021,2024-06-28
191,공중화장실(장애인),서울교통공사,5호선,둔촌동, 서울특별시 강동구 둔촌동 416 둔촌동역 , 서울특별시 강동구 둔촌동 4 ,37.527657,127.134042,지하,1,외부,3 또는4,대합실 지하1층 또는 3 또는4번 출입구 방향, 02-6311-5541 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2008,2024-06-28
192,공중화장실(장애인),서울교통공사,5호선,올림픽공원, 서울특별시 송파구 방이동 89-28 올림픽공원역 , 서울특별시 송파구 방이동 8 ,37.516628,127.128901,지하,1,외부,2,대합실 지하1층 2번출입구 앞, 02-6311-5551 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
193,공중화장실(장애인),서울교통공사,5호선,방이, 서울특별시 송파구 방이동 217-2 방이역 , 서울특별시 송파구 방이동 2 ,37.508559,127.123771,지하,1,외부,3 또는4,대합실 지하1층 3 또는4번 출입구방향 , 02-6311-5561 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
194,공중화장실(장애인),서울교통공사,5호선,오금, 서울특별시 송파구 오금동 44-2 오금역 , 서울특별시 송파구 오금동 4 ,37.502234,127.126165,지하,1,내부,6 또는7,대합실 지하1층 방이역 방향, 02-6110-3522 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2014,2024-06-28
195,공중화장실(장애인),서울교통공사,5호선,개롱, 서울특별시 송파구 오금동 165-2 개롱역 , 서울특별시 송파구 오금동 1 ,37.498162,127.132471,지하,1,외부,1 또는4,1 또는4번호 출입구 사이, 02-6311-5581 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
196,공중화장실(장애인),서울교통공사,5호선,거여, 서울특별시 송파구 거여동 20-14 거여역 , 서울특별시 송파구 거여동 2 ,37.494249,127.13979,지하,1,외부,8,대합실 1층 8번출입구 앞, 02-6311-5591 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2013,2024-06-28
197,공중화장실(장애인),서울교통공사,5호선,마천, 서울특별시 송파구 마천동 307-4 마천역 , 서울특별시 송파구 마천동 3 ,37.49502,127.150601,지하,1,외부,1,대합실 지하1층 1번출입구 방향에서우측 코너, 02-6311-5601 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2009,2024-06-28
198,공중화장실(장애인),서울교통공사,6호선,응암, 서울특별시 은평구 역촌동 85-41 응암역 , 서울특별시 은평구 역촌동 8 ,37.598472,126.913403,지하,1,외부,3 또는4,대합실 B1층 GS25 편의점 옆, 02-6311-6101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2016,2024-06-28
199,공중화장실(장애인),서울교통공사,6호선,역촌, 서울특별시 은평구 녹번동 144-69 역촌역 , 서울특별시 은평구 녹번동 1 ,37.60515,126.919893,지하,1,외부,3,대합실 1층 3번출입구 옆 , 02-6311-6111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
200,공중화장실(장애인),서울교통공사,6호선,불광, 서울특별시 은평구 대조동 14-1 불광역(6호선) , 서울특별시 은평구 대조동 1 ,37.610098,126.928007,지하,1,외부,6 또는7,지하1층 가 대합실(6 또는7번출입구 아래) , 02-6311-6121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
201,공중화장실(장애인),서울교통공사,6호선,독바위, 서울특별시 은평구 불광동 13-33 독바위역 , 서울특별시 은평구 불광동 1 ,37.618387,126.930848,지하,1,외부,1,대합실 B1층 ES 7호기 옆 , 02-6311-6131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
202,공중화장실(장애인),서울교통공사,6호선,연신내, 서울특별시 은평구 갈현동 397 연신내역 , 서울특별시 은평구 갈현동 3 ,37.618812,126.918653,지하,1,외부,6 또는7,대합실 B1층 6 또는7번출입구방향, 02-6110-3211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2017,2024-06-28
203,공중화장실(장애인),서울교통공사,6호선,구산, 서울특별시 은평구 구산동 1 구산역 , 서울특별시 은평구 구산동 1 ,37.611025,126.915399,지하,1,외부,4,대합실 B1층 4번출입구 맞은편, 02-6311-6151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
204,공중화장실(장애인),서울교통공사,6호선,새절, 서울특별시 은평구 신사동 337-5 새절역 , 서울특별시 은평구 신사동 3 ,37.591014,126.911393,지하,1,외부,2,대합실 1층 2번 출입구 옆, 02-6311-6161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,,,,2020,2024-06-28
205,공중화장실(장애인),서울교통공사,6호선,증산, 서울특별시 은평구 증산동 199-8 증산역 , 서울특별시 은평구 증산동 1 ,37.583933,126.907497,지하,1,외부,1,대합실 1층 1번출입구 옆, 02-6311-6171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
206,공중화장실(장애인),서울교통공사,6호선,디지털미디어시티, 서울특별시 은평구 수색동 37-36 디지털미디어시티역 , 서울특별시 은평구 수색동 3 ,37.577964,126.898232,지하,1,외부,4,대합실 지하1층 4번출입구 옆, 02-6311-6181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,,,2024,2024-06-28
207,공중화장실(장애인),서울교통공사,6호선,디지털미디어시티, 서울특별시 은평구 수색동 37-36 디지털미디어시티역 , 서울특별시 은평구 수색동 3 ,37.577964,126.898232,지하,1,내부,2 또는3,대합실 지하1층 2 또는3번출입구 옆, 02-6311-6181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2019,2024-06-28
208,공중화장실(장애인),서울교통공사,6호선,월드컵경기장, 서울특별시 마포구 성산동 420 월드컵경기장역 , 서울특별시 마포구 성산동 4 ,37.569656,126.896869,지하,1,외부,2,대합실 (B1 2번출입구방향 표 내는 곳옆), 02-6311-6191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
209,공중화장실(장애인),서울교통공사,6호선,월드컵경기장, 서울특별시 마포구 성산동 420 월드컵경기장역 , 서울특별시 마포구 성산동 4 ,37.569656,126.896869,지하,1,내부,1,대합실 (B1 1번출입구방향 표 내는 곳안쪽), 02-6311-6191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
210,공중화장실(장애인),서울교통공사,6호선,마포구청, 서울특별시 마포구 성산동 592 마포구청역 , 서울특별시 마포구 성산동 5 ,37.563418,126.901283,지하,2,외부,8,가대합실 지하2층, 02-6311-6201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,,,,2020,2024-06-28
211,공중화장실(장애인),서울교통공사,6호선,마포구청, 서울특별시 마포구 성산동 592 마포구청역 , 서울특별시 마포구 성산동 5 ,37.563418,126.901283,지하,1,외부,3 또는4,나대합실 지하1층 편의점옆, 02-6311-6201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2019,2024-06-28
212,공중화장실(장애인),서울교통공사,6호선,망원, 서울특별시 마포구 망원동 378 망원역 , 서울특별시 마포구 망원동 3 ,37.555757,126.907718,지하,1,외부,1,B1 대합실 1번출입구 옆, 02-6311-6211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2017,2024-06-28
213,공중화장실(장애인),서울교통공사,6호선,합정, 서울특별시 마포구 합정동 414 합정역(6호선) , 서울특별시 마포구 합정동 4 ,37.549575,126.911802,지하,1,외부,8,대합실 1층 8번출입구 앞, 02-6311-6221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2020,2024-06-28
214,공중화장실(장애인),서울교통공사,6호선,상수, 서울특별시 마포구 상수동 309-10 상수역 , 서울특별시 마포구 상수동 3 ,37.547703,126.920759,지하,2,외부,1 또는2 또는3 또는4,B2 대합실 상가 미샤 옆, 02-6311-6231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2022,2024-06-28
215,공중화장실(장애인),서울교통공사,6호선,광흥창, 서울특별시 마포구 창전동 145-17 광흥창역 , 서울특별시 마포구 창전동 1 ,37.547478,126.929666,지하,2,외부,1 또는2 또는5 또는6,대합실 2층 (1256번출입구방향), 02-6311-6241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2017,2024-06-28
216,공중화장실(장애인),서울교통공사,6호선,대흥, 서울특별시 마포구 대흥동 128-1 대흥역 , 서울특별시 마포구 대흥동 1 ,37.547674,126.940143,지하,1,외부,4,대합실 1층 4번출입구 앞, 02-6311-6251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
217,공중화장실(장애인),서울교통공사,6호선,공덕, 서울특별시 마포구 공덕동 423-29 공덕역(5 또는 6호선) , 서울특별시 마포구 공덕동 4 ,37.54322,126.949387,지하,1,외부,7,대합실 1층 7번출입구 앞, 02-6311-5291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2019,2024-06-28
218,공중화장실(장애인),서울교통공사,6호선,효창공원앞, 서울특별시 용산구 효창동 80 효창공원앞역 , 서울특별시 용산구 효창동 8 ,37.539289,126.95915,지하,1,외부,3 또는6,대합실 1층 3 또는6번 출입구 앞, 02-6311-6271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
219,공중화장실(장애인),서울교통공사,6호선,삼각지, 서울특별시 용산구 한강로1가 228-1 삼각지역(6호선) , 서울특별시 용산구 한강로1가 ,37.53563,126.974797,지하,1,외부,7 또는8,대합실 1층 7 또는8번 출입구 측면, 02-6311-6281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
220,공중화장실(장애인),서울교통공사,6호선,녹사평, 서울특별시 용산구 용산동 4가 4 녹사평역 , 서울특별시 용산구 용산동 4 ,37.534945,126.983163,지하,1,외부,1 또는2,대합실 지하1층 1 또는2번 출입구 진입 방향, 02-6311-6292 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,,, 2008이전 ,2024-06-28
221,공중화장실(장애인),서울교통공사,6호선,이태원, 서울특별시 용산구 이태원동 119-23 이태원역 , 서울특별시 용산구 이태원동  ,37.534533,126.99239,지하,1,외부,3,B1 대합실 ES 옆, 02-6311-6301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,,,2010,2024-06-28
222,공중화장실(장애인),서울교통공사,6호선,한강진, 서울특별시 용산구 한남동 726-494 한강진역 , 서울특별시 용산구 한남동 7 ,37.539518,126.999547,지하,1,내부,1 또는2 또는3,대합실 B1층 임대상가(gs25)옆, 02-6311-6311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2022,2024-06-28
223,공중화장실(장애인),서울교통공사,6호선,버티고개, 서울특별시 중구 신당동 366-454 버티고개역 , 서울특별시 중구 신당동 36 ,37.547892,127.004934,지하,1,외부,1,대합실 1층 1번출입구 앞, 02-6311-6321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
224,공중화장실(장애인),서울교통공사,6호선,약수, 서울특별시 중구 신당동 369-2 약수역(6호선) , 서울특별시 중구 신당동 36 ,37.553465,127.009158,지하,1,외부,7 또는8,대합실 B1 7 또는8번 출입구앞, 02-6311-6331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2018,2024-06-28
225,공중화장실(장애인),서울교통공사,6호선,청구, 서울특별시 중구 신당동 295-2 청구역(5 또는 6호선) , 서울특별시 중구 신당동 29 ,37.557424,127.009814,지하,1,외부,1,B1 대합실 1번출입구 나가는 방향 맞은편 위치, 02-6311-5371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2022,2024-06-28
226,공중화장실(장애인),서울교통공사,6호선,신당, 서울특별시 중구 흥인동 162-1 신당역(6호선) , 서울특별시 중구 흥인동 16 ,37.565671,127.017279,지하,1,외부,5 또는6 또는7 또는8,대합실 B1층 5~8번출입구 나가는 방향 계단 하부, 02-6311-6351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2016,2024-06-28
227,공중화장실(장애인),서울교통공사,6호선,동묘앞, 서울특별시 종로구 창신동 263-2 동묘앞역(6호선) , 서울특별시 종로구 창신동 2 ,37.572729,127.013819,지하,1,외부,7,대합실 1층 7번출입구 앞, 02-6311-6361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,,,,2020,2024-06-28
228,공중화장실(장애인),서울교통공사,6호선,창신, 서울특별시 종로구 창신동 20-8 창신역 , 서울특별시 종로구 창신동 2 ,37.579361,127.013092,지하,1,내부,3 또는4,대합실 1층 EL1호기 뒷편, 02-6311-6371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
229,공중화장실(장애인),서울교통공사,6호선,보문, 서울특별시 성북구 보문동 1가 127-1 보문역 , 서울특별시 성북구 보문동 1 ,37.58533,127.017202,지하,2,외부,1 또는2,지하2층 대합실 아이센터 옆, 02-6311-6381 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,1,, 2008이전 ,2024-06-28
230,공중화장실(장애인),서울교통공사,6호선,안암, 서울특별시 성북구 안암동5가 146-1 안암역 , 서울특별시 성북구 안암동5가 ,37.587422,127.029258,지하,1,외부,3 또는4,대합실 B1층 3 또는4번출입구 계단 인근, 02-6311-6391 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
231,공중화장실(장애인),서울교통공사,6호선,안암, 서울특별시 성북구 안암동5가 146-1 안암역 , 서울특별시 성북구 안암동5가 ,37.587422,127.029258,지하,2,내부,3 또는4,대합실 B2층 봉화산방면 승강장 계단 인근, 02-6311-6391 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2019,2024-06-28
232,공중화장실(장애인),서울교통공사,6호선,고려대, 서울특별시 성북구 종암동 29-18 고려대역 , 서울특별시 성북구 종암동 2 ,37.590401,127.03367,지하,1,내부,2,지하 1층 대합실(표 내는 곳 안), 02-6311-6401 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2017,2024-06-28
233,공중화장실(장애인),서울교통공사,6호선,월곡, 서울특별시 성북구 하월곡동 35-1 월곡역 , 서울특별시 성북구 하월곡동  ,37.601925,127.039341,지하,1,외부,1 또는2 또는3,지하 1층 , 02-6311-6411 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,1,, 2008이전 ,2024-06-28
234,공중화장실(장애인),서울교통공사,6호선,상월곡, 서울특별시 성북구 상월곡동 26-1 상월곡역 , 서울특별시 성북구 상월곡동  ,37.6066,127.046673,지하,2,외부,1 또는4, 지하 2층 대합실(1 또는 4번출입구방면), 02-6311-6421 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,1,, 2008이전 ,2024-06-28
235,공중화장실(장애인),서울교통공사,6호선,돌곶이, 서울특별시 성북구 석관동 349-8 돌곶이역 , 서울특별시 성북구 석관동 3 ,37.610493,127.054214,지하,1,외부,6 또는7,지하 1층 대합실(6 또는7번출입구 사이), 02-6311-6431 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2019,2024-06-28
236,공중화장실(장애인),서울교통공사,6호선,석계, 서울특별시 노원구 월계동 25-2 석계역 , 서울특별시 노원구 월계동 2 ,37.615233,127.064155,지하,1,외부,7,지하 1층 대합실(7번출입구 앞), 02-6311-6441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,,1,,2008이전,2024-06-28
237,공중화장실(장애인),서울교통공사,6호선,석계, 서울특별시 노원구 월계동 25-2 석계역 , 서울특별시 노원구 월계동 2 ,37.615233,127.064155,지하,2,내부,2 또는3,지하 2층 대합실(환승통로), 02-6311-6441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,1,,1,,,,,,,1,,2024,2024-06-28
238,공중화장실(장애인),서울교통공사,6호선,태릉입구, 서울특별시 노원구 공릉동 616-4 태릉입구역(6 또는 7호선) , 서울특별시 노원구 공릉동 6 ,37.62187,127.086099,지하,1,외부,1,대합실 지하1층 아이센터 옆, 02-6311-7171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,1,,1,1,,,,,,1,, 2008이전 ,2024-06-28
239,공중화장실(장애인),서울교통공사,6호선,화랑대, 서울특별시 노원구 공릉동 285-2 화랑대역 , 서울특별시 노원구 공릉동 2 ,37.621869,127.079533,지하,1,외부,6 또는7,지하 1층 대합실(표 내는 곳 밖), 02-6311-6461 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,,,, 2008이전 ,2024-06-28
240,공중화장실(장애인),서울교통공사,6호선,봉화산, 서울특별시 중랑구 신내동 643-1 봉화산역 , 서울특별시 중랑구 신내동 6 ,37.699655,127.050087,지하,1,외부,2 또는3,지하 1층 대합실(고객상담실 옆), 02-6311-6471 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2022,2024-06-28
